NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"Thousand Oaks city, California",124811,6,78582,Thousand Oaks city,California,"Thousand Oaks city, California",35.121707,-120.592513,0.0,6.0
"Torrance city, California",108406,6,80000,Torrance city,California,"Torrance city, California",33.832402,-118.341001,1.0,20.0
"Tracy city, California",113083,6,80238,Tracy city,California,"Tracy city, California",37.7385335,-121.4199815,0.0,1.0
"Turlock city, California",76031,6,80812,Turlock city,California,"Turlock city, California",34.269162800000004,-118.60374460462378,0.0,9.0
"Tustin city, California",104427,6,80854,Tustin city,California,"Tustin city, California",33.7432966,-117.819484,2.0,20.0
"Union City city, California",148460,6,81204,Union City city,California,"Union City city, California",34.529078,-117.298461,0.0,0.0
"Upland city, California",97838,6,81344,Upland city,California,"Upland city, California",34.099336699999995,-117.65037138842862,1.0,11.0
"Vacaville city, California",97289,6,81554,Vacaville city,California,"Vacaville city, California",38.3512866,-121.99444523554617,0.0,3.0
"Vallejo city, California",88063,6,81666,Vallejo city,California,"Vallejo city, California",38.124663,-122.228542,0.0,3.0
"Visalia city, California",81362,6,82954,Visalia city,California,"Visalia city, California",36.3288395,-119.2992811,1.0,1.0
"Vista city, California",88839,6,82996,Vista city,California,"Vista city, California",37.317741,-121.91936129069929,3.0,20.0
"Walnut Creek city, California",106141,6,83346,Walnut Creek city,California,"Walnut Creek city, California",37.30333,-121.842367,3.0,20.0
"West Covina city, California",84663,6,84200,West Covina city,California,"West Covina city, California",34.1059914,-117.8791434,0.0,2.0
"Westminster city, California",85229,6,84550,Westminster city,California,"Westminster city, California",33.7577942,-117.9858931,0.0,20.0
"Whittier city, California",91457,6,85292,Whittier city,California,"Whittier city, California",33.9749185,-118.03376265091144,0.0,4.0
"Yorba Linda city, California",151534,6,86832,Yorba Linda city,California,"Yorba Linda city, California",39.126561,-121.538446,0.0,2.0
"Arvada city, Colorado",110100,8,3455,Arvada city,Colorado,"Arvada city, Colorado",39.8027778,-105.0880556,1.0,20.0
"Aurora city, Colorado",81395,8,4000,Aurora city,Colorado,"Aurora city, Colorado",39.63304355,-104.69988668347348,0.0,3.0
"Boulder city, Colorado",81608,8,7850,Boulder city,Colorado,"Boulder city, Colorado",35.9787638,-114.8337739,0.0,1.0
"Broomfield city, Colorado",115833,8,9280,Broomfield city,Colorado,"Broomfield city, Colorado",39.9403995,-105.05208,0.0,20.0
"Castle Rock town, Colorado",142927,8,12415,Castle Rock town,Colorado,"Castle Rock town, Colorado",38.693064,-104.678651,0.0,0.0
"Centennial city, Colorado",126224,8,12815,Centennial city,Colorado,"Centennial city, Colorado",39.59572805,-104.835924583367,3.0,20.0
"Colorado Springs city, Colorado",78568,8,16000,Colorado Springs city,Colorado,"Colorado Springs city, Colorado",38.8462822,-104.8611952,4.0,20.0
"Commerce City city, Colorado",102607,8,16495,Commerce City city,Colorado,"Commerce City city, Colorado",39.8330585,-104.91148970617284,1.0,20.0
"Denver city, Colorado",88213,8,20000,Denver city,Colorado,"Denver city, Colorado",39.7392364,-104.984862,1.0,20.0
"Fort Collins city, Colorado",80227,8,27425,Fort Collins city,Colorado,"Fort Collins city, Colorado",40.5843926,-105.1009281,3.0,19.0
"Highlands Ranch CDP, Colorado",152038,8,36410,Highlands Ranch CDP,Colorado,"Highlands Ranch CDP, Colorado",39.541102,-104.969335,0.0,14.0
"Lakewood city, Colorado",85988,8,43000,Lakewood city,Colorado,"Lakewood city, Colorado",39.7088571,-105.08304642696726,2.0,20.0
"Longmont city, Colorado",89010,8,45970,Longmont city,Colorado,"Longmont city, Colorado",40.1644594,-105.10057437364112,3.0,6.0
