NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,commercial.weapons Count,activity.sport_club Count,commercial.smoking Count,commercial.food_and_drink.health_food Count
"Lakeville city, Minnesota",124452,27,35180,Lakeville city,Minnesota,"Lakeville city, Minnesota",44.65686185,-93.24348455543982,1.0,0.0,2.0,0.0
"Maple Grove city, Minnesota",111829,27,40166,Maple Grove city,Minnesota,"Maple Grove city, Minnesota",45.14634,-94.684122,0.0,0.0,0.0,0.0
"Plymouth city, Minnesota",106858,27,51730,Plymouth city,Minnesota,"Plymouth city, Minnesota",45.019,-93.4742,0.0,0.0,0.0,0.0
"Woodbury city, Minnesota",117201,27,71428,Woodbury city,Minnesota,"Woodbury city, Minnesota",44.9447042,-92.9031873,0.0,0.0,0.0,0.0
"Apex town, North Carolina",126583,37,1520,Apex town,North Carolina,"Apex town, North Carolina",35.73388715,-78.84656522378867,1.0,0.0,4.0,1.0
"Cary town, North Carolina",125414,37,10740,Cary town,North Carolina,"Cary town, North Carolina",35.75142715,-78.76755491660421,0.0,0.0,3.0,1.0
"Mount Pleasant town, South Carolina",114237,45,48535,Mount Pleasant town,South Carolina,"Mount Pleasant town, South Carolina",34.702662,-82.798992,0.0,0.0,1.0,0.0
"Franklin city, Tennessee",108354,47,27740,Franklin city,Tennessee,"Franklin city, Tennessee",35.9279699,-86.87224166678752,0.0,0.0,0.0,0.0
"Allen city, Texas",121127,48,1924,Allen city,Texas,"Allen city, Texas",32.3164356,-96.1321904,0.0,0.0,0.0,0.0
"Atascocita CDP, Texas",107633,48,4462,Atascocita CDP,Texas,"Atascocita CDP, Texas",29.968815,-95.202145,0.0,0.0,2.0,0.0
"Cedar Park city, Texas",114735,48,13552,Cedar Park city,Texas,"Cedar Park city, Texas",35.902872,-100.384603,0.0,0.0,0.0,0.0
"Flower Mound town, Texas",144901,48,26232,Flower Mound town,Texas,"Flower Mound town, Texas",33.036481499999994,-97.07113777937062,1.0,0.0,4.0,0.0
"Frisco city, Texas",145914,48,27684,Frisco city,Texas,"Frisco city, Texas",33.144803350000004,-96.74196769055372,0.0,0.0,2.0,0.0
"Leander city, Texas",138111,48,42016,Leander city,Texas,"Leander city, Texas",30.58022115,-97.84126746018076,2.0,0.0,0.0,0.0
"Mansfield city, Texas",119508,48,46452,Mansfield city,Texas,"Mansfield city, Texas",32.5680169,-97.12258257018888,0.0,0.0,0.0,0.0
