NAME,S1903_C03_001E,state,place
"Chattanooga city, Tennessee",64340,47,14000
"Clarksville city, Tennessee",63723,47,15160
"Franklin city, Tennessee",108354,47,27740
"Jackson city, Tennessee",50466,47,37640
"Johnson City city, Tennessee",55228,47,38320
"Knoxville city, Tennessee",52826,47,40000
"Memphis city, Tennessee",50622,47,48000
"Murfreesboro city, Tennessee",70160,47,51560
"Nashville-Davidson metropolitan government (balance), Tennessee",71767,47,52006
"Abilene city, Texas",61694,48,01000
"Allen city, Texas",121127,48,01924
"Amarillo city, Texas",62260,48,03000
"Arlington city, Texas",70433,48,04000
"Atascocita CDP, Texas",107633,48,04462
"Austin city, Texas",89415,48,05000
"Baytown city, Texas",60787,48,06128
"Beaumont city, Texas",57944,48,07000
"Brownsville city, Texas",46912,48,10768
"Bryan city, Texas",59771,48,10912
"Carrollton city, Texas",92734,48,13024
"Cedar Park city, Texas",114735,48,13552
"College Station city, Texas",51228,48,15976
"Conroe city, Texas",65728,48,16432
"Corpus Christi city, Texas",60958,48,17000
"Dallas city, Texas",65400,48,19000
"Denton city, Texas",71711,48,19972
"Edinburg city, Texas",50964,48,22660
"El Paso city, Texas",52645,48,24000
"Flower Mound town, Texas",144901,48,26232
"Fort Worth city, Texas",71527,48,27000
"Frisco city, Texas",145914,48,27684
"Garland city, Texas",71191,48,29000
"Georgetown city, Texas",97533,48,29336
"Grand Prairie city, Texas",72271,48,30464
"Harlingen city, Texas",50166,48,32372
"Houston city, Texas",60426,48,35000
"Irving city, Texas",78326,48,37000
"Killeen city, Texas",54529,48,39148
"Laredo city, Texas",59751,48,41464
"League City city, Texas",104867,48,41980
"Leander city, Texas",138111,48,42016
"Lewisville city, Texas",78955,48,42508
"Longview city, Texas",65897,48,43888
"Lubbock city, Texas",56910,48,45000
"McAllen city, Texas",55898,48,45384
"McKinney city, Texas",104619,48,45744
"Mansfield city, Texas",119508,48,46452
"Mesquite city, Texas",68134,48,47892
"Midland city, Texas",80235,48,48072
"Mission city, Texas",53859,48,48768
"Missouri City city, Texas",101775,48,48804
"New Braunfels city, Texas",79336,48,50820
"North Richland Hills city, Texas",82005,48,52356
"Odessa city, Texas",63385,48,53388
"Pasadena city, Texas",57078,48,56000
"Pearland city, Texas",103496,48,56348
"Pflugerville city, Texas",111956,48,57176
"Pharr city, Texas",48631,48,57200
"Plano city, Texas",103916,48,58016
"Richardson city, Texas",86175,48,61796
"Round Rock city, Texas",81804,48,63500
"Rowlett city, Texas",106355,48,63572
"San Angelo city, Texas",57625,48,64472
"San Antonio city, Texas",58829,48,65000
"San Marcos city, Texas",52040,48,65600
"Spring CDP, Texas",81641,48,69596
"Sugar Land city, Texas",132766,48,70808
"Temple city, Texas",63219,48,72176
"The Woodlands CDP, Texas",137335,48,72656
"Tyler city, Texas",60811,48,74144
"Victoria city, Texas",66060,48,75428
"Waco city, Texas",54248,48,76000
"Wichita Falls city, Texas",56091,48,79000
"Layton city, Utah",100185,49,43660
"Lehi city, Utah",123842,49,44320
"Ogden city, Utah",67102,49,55980
"Orem city, Utah",77718,49,57300
"Provo city, Utah",59290,49,62470
"St. George city, Utah",70386,49,65330
"Salt Lake City city, Utah",75529,49,67000
"Sandy city, Utah",104577,49,67440
"South Jordan city, Utah",118560,49,70850
"West Jordan city, Utah",95434,49,82950
"West Valley City city, Utah",82378,49,83470
"Alexandria city, Virginia",111955,51,01000
"Arlington CDP, Virginia",132380,51,03000
"Centreville CDP, Virginia",131444,51,14440
"Chesapeake city, Virginia",87749,51,16000
"Dale City CDP, Virginia",97214,51,21088
"Hampton city, Virginia",64924,51,35000
"Lynchburg city, Virginia",49076,51,47672
"Newport News city, Virginia",64102,51,56000
"Norfolk city, Virginia",61090,51,57000
"Portsmouth city, Virginia",54611,51,64000
"Richmond city, Virginia",58988,51,67000
"Roanoke city, Virginia",49570,51,68000
"Suffolk city, Virginia",83144,51,76432
"Virginia Beach city, Virginia",83245,51,82000
"Auburn city, Washington",92622,53,03180
"Bellevue city, Washington",153779,53,05210
"Bellingham city, Washington",64748,53,05280
"Everett city, Washington",79723,53,22640
"Federal Way city, Washington",76732,53,23515
"Kennewick city, Washington",73800,53,35275
"Kent city, Washington",83314,53,35415
"Kirkland city, Washington",130620,53,35940
"Marysville city, Washington",104433,53,43955
"Pasco city, Washington",76499,53,53545
"Redmond city, Washington",152851,53,57535
"Renton city, Washington",93388,53,57745
"Sammamish city, Washington",223849,53,61115
"Seattle city, Washington",115409,53,63000
"South Hill CDP, Washington",109848,53,65922
"Spokane city, Washington",62287,53,67000
"Spokane Valley city, Washington",66484,53,67167
"Tacoma city, Washington",80784,53,70000
"Vancouver city, Washington",76799,53,74060
"Yakima city, Washington",56821,53,80010
"Appleton city, Wisconsin",75262,55,02375
"Eau Claire city, Wisconsin",57289,55,22300
